# U585 demo 18 VCP capture
# port=COM3 baud=115200 seconds=8
# utc=2026-07-12T05:11:51.7516720Z

[NS] [U585][20] mx=454
[NS] [U585][20] my=600
[NS] [U585][20] mz=259
[NS] [U585][20] mx=459
[NS] [U585][20] my=597
[NS] [U585][20] mz=257
[NS] [U585][20] mx=456
[NS] [U585][20] my=597
[NS] [U585][20] mz=261
[NS] [U585][20] mx=459
[NS] [U585][20] my=603
[NS] [U585][20] mz=260
[NS] [U585][20] mx=457
[NS] [U585][20] my=602
[NS] [U585][20] mz=257
[NS] [U585][20] mx=454
[NS] [U585][20] my=600
[NS] [U585][20] mz=261
[NS] [U585][20] mx=455
[NS] [U585][20] my=598
[NS] [U585][20] mz=260
[NS] [U585][20] mx=454
[NS] [U585][20] my=601
[NS] [U585][20] mz=261
[NS] [U585][20] mx=453
[NS] [U585][20] my=606
[NS] [U585][20] mz=259
[NS] [U585][20] mx=456
[NS] [U585][20] my=598
[NS] [U585][20] mz=263
[NS] [U585][20] mx=460
[NS] [U585][20] my=599
[NS] [U585][20] mz=258
[NS] [U585][20] mx=461
[NS] [U585][20] my=595
[NS] [U585][20] mz=261
[NS] [U585][20] mx=453
[NS] [U585][20] my=602
[NS] [U585][20] mz=262
[NS] [U585][20] mx=450
[NS] [U585][20] my=598
[NS] [U585][20] mz=261
[NS] [U585][20] mx=461
[NS] [U585][20] my=602
[NS] [U585][20] mz=259
[NS] [U585][20] mx=452
[NS] [U585][20] my=596
[NS] [U585][20] mz=262
[NS] [U585][20] mx=456
[NS] [U585][20] my=604
[NS] [U585][20] mz=258
[NS] [U585][20] mx=453
[NS] [U585][20] my=597
[NS] [U585][20] mz=260
[NS] [U585][20] mx=455
[NS] [U585][20] my=596
[NS] [U585][20] mz=262
[NS] [U585][20] mx=454
[NS] [U585][20] my=598
[NS] [U585][20] mz=252
[NS] [U585][20] mx=458
[NS] [U585][20] my=598
[NS] [U585][20] mz=254
[NS] [U585][20] mx=458
[NS] [U585][20] my=597
[NS] [U585][20] mz=261
[NS] [U585][20] mx=465
[NS] [U585][20] my=602
[NS] [U585][20] mz=260
[NS] [U585][20] mx=460
[NS] [U585][20] my=599
[NS] [U585][20] mz=254
[NS] [U585][20] mx=452
[NS] [U585][20] my=604
[NS] [U585][20] mz=255
[NS] [U585][20] mx=455
[NS] [U585][20] my=602
[NS] [U585][20] mz=257
[NS] [U585][20] mx=452
[NS] [U585][20] my=602
[NS] [U585][20] mz=260
[NS] [U585][20] mx=456
[NS] [U585][20] my=600
[NS] [U585][20] mz=262
[NS] [U585][20] mx=452
[NS] [U585][20] my=598
[NS] [U585][20] mz=265
[NS] [U585][20] mx=461
[NS] [U585][20] my=600
[NS] [U585][20] mz=263
[NS] [U585][20] mx=454
[NS] [U585][20] my=607
[NS] [U585][20] mz=261
[NS] [U585][20] mx=455
[NS] [U585][20] my=602
[NS] [U585][20] mz=263
[NS] [U585][20] mx=455
[NS] [U585][20] my=602
[NS] [U585][20] mz=262
[NS] [U585][20] mx=459
[NS] [U585][20] my=602
[NS] [U585][20] mz=258
[NS] [U585][20] mx=457
[NS] [U585][20] my=599
[NS] [U585][20] mz=260
[NS] [U585][20] mx=459
[NS] [U585][20] my=602
[NS] [U585][20] mz=267
[NS] [U585][20] mx=452
[NS] [U585][20] my=599
[NS] [U585][20] mz=258
[NS] [U585][20] mx=452
[NS] [U585][20] my=604
[NS] [U585][20] mz=264
[NS] [U585][20] mx=455
[NS] [U585][20] my=597
[NS] [U585][20] mz=268
[NS] [U585][20] mx=453
[NS] [U585][20] my=602
[NS] [U585][20] mz=259
[NS] [U585][20] mx=460
[NS] [U585][20] my=600
[NS] [U585][20] mz=260
[NS] [U585][20] mx=456
[NS] [U585][20] my=599
[NS] [U585][20] mz=262
[NS] [U585][20] mx=460
[NS] [U585][20] my=605
[NS] [U585][20] mz=258
[NS] [U585][20] mx=456
[NS] [U585][20] my=598
[NS] [U585][20] mz=265
[NS] [U585][20] mx=454
[NS] [U585][20] my=602
[NS] [U585][20] mz=258
[NS] [U585][20] mx=457
[NS] [U585][20] my=600
[NS] [U585][20] mz=262
[NS] [U585][20] mx=451
[NS] [U585][20] my=605
[NS] [U585][20] mz=261
[S] Secure world ready
[NS] [U585][18] LPS22HH pressure/temp
[NS] [U585][18] i2c_ready=1
[NS] [U585][18] WHO_AM_I=179
[NS] [U585][18] who_ok=1
[NS] [U585][18] raw_press=4076632
[NS] [U585][18] raw_temp=3447
[S] Secure world ready
[NS] [U585][18] LPS22HH pressure/temp
[NS] [U585][18] i2c_ready=1
[NS] [U585][18] WHO_AM_I=179
[NS] [U585][18] who_ok=1
[NS] [U585][18] raw_press=4076479
[NS] [U585][18] raw_temp=3447
[NS] [U585][18] raw_press=4076291
[NS] [U585][18] raw_temp=3445
[NS] [U585][18] raw_press=4076338
[NS] [U585][18] raw_temp=3447
[NS] [U585][18] raw_press=4076271
[NS] [U585][18] raw_temp=3447
[NS] [U585][18] raw_press=4076266
[NS] [U585][18] raw_temp=3449
[NS] [U585][18] raw_press=4076469
[NS] [U585][18] raw_temp=3449
[NS] [U585][18] raw_press=4076285
[NS] [U585][18] raw_temp=3450
[NS] [U585][18] raw_press=4076613
[NS] [U585][18] raw_temp=3450
[NS] [U585][18] raw_press=4076808
[NS] [U585][18] raw_temp=3451
